transaction_id,amount,transaction_type,transaction_hour,day_of_week,sender_balance,receiver_balance,location,device_type,previous_transaction_count,new_device,unusual_location,transactions_last_hour,amount_to_balance_ratio,is_fraud,log_amount,balance_diff,is_night,is_weekend
TX11501,922.89,UPI,20,0,93565.82,8168.56,Ahmedabad,Desktop,100,0,0,2,0.0099,0,6.828593016935907,85397.26000000001,0,0
TX12586,1489.13,Card,19,1,8361.46,43135.46,Mumbai,Laptop,18,0,0,4,0.1781,0,7.306618643455739,-34774.0,0,0
TX12653,348.28,E-commerce,12,5,54296.63,10256.42,Pune,Desktop,15,0,0,1,0.0064,0,5.855873892801633,44040.21,0,1
TX11055,3587.93,UPI,19,1,53873.69,34575.11,Pune,Mobile,118,0,0,2,0.0666,0,8.185609386917278,19298.58,0,0
TX10705,1233.28,Wallet,18,4,61810.93,34360.84,Delhi,Mobile,77,0,0,4,0.02,0,7.118243083102442,27450.090000000004,0,0
TX10106,1285.94,UPI,15,0,4423.82,29330.2,Bengaluru,Mobile,166,0,0,1,0.2907,0,7.160022586462759,-24906.38,0,0
TX10589,939.24,Bank Transfer,16,6,10254.98,11108.54,Hyderabad,Tablet,148,0,0,4,0.0916,0,6.8461351618245985,-853.5600000000013,0,1
TX12468,1905.94,Wallet,18,1,36879.63,48654.96,Ahmedabad,Laptop,46,0,0,1,0.0517,0,7.553255142074509,-11775.330000000002,0,0
TX12413,463.54,Wallet,19,1,50281.11,21113.83,Bengaluru,Desktop,36,0,0,1,0.0092,0,6.141047668647471,29167.28,0,0
TX11600,903.11,E-commerce,17,0,18121.11,17804.38,Hyderabad,Mobile,57,0,0,2,0.0498,0,6.806951034405523,316.72999999999956,0,0
TX12464,740.07,Wallet,17,2,83448.7,11458.86,Pune,Mobile,99,0,0,2,0.0089,0,6.6080950877709395,71989.84,0,0
TX10228,1437.7,Wallet,10,4,63634.94,26719.71,Bengaluru,Mobile,25,0,0,1,0.0226,0,7.271495207042987,36915.23,0,0
TX10915,1351.54,Card,17,2,68916.52,2686.61,Mumbai,Tablet,161,0,0,4,0.0196,0,7.209739585144677,66229.91,0,0
TX10794,843.6,Wallet,9,6,84857.78,290.61,Chennai,Mobile,67,0,0,4,0.0099,0,6.738863142499843,84567.17,0,1
TX13021,1564.49,E-commerce,17,0,87533.64,49580.55,Delhi,Mobile,135,0,0,2,0.0179,0,7.355954153010511,37953.09,0,0
TX13543,951.71,Wallet,9,5,28921.19,22237.92,Delhi,Mobile,44,0,0,2,0.0329,0,6.859310555141324,6683.27,0,1
TX11073,937.13,Card,13,3,86265.6,46904.47,Bengaluru,Laptop,76,0,0,3,0.0109,0,6.843888532153669,39361.130000000005,0,0
TX13351,2365.5,UPI,12,1,45956.98,9682.9,Bengaluru,Mobile,87,0,0,1,0.0515,0,7.7691673493463025,36274.08,0,0
TX11744,684.39,Wallet,19,0,69185.62,29724.86,Mumbai,Mobile,43,0,0,4,0.0099,0,6.529988019313647,39460.759999999995,0,0
TX11084,1069.4,Bank Transfer,18,6,31660.14,28214.08,Jaipur,Desktop,120,0,0,3,0.0338,0,6.975787689373964,3446.0599999999977,0,1
TX10926,912.04,Wallet,17,6,74831.6,35257.27,Mumbai,Desktop,88,0,0,2,0.0122,0,6.816779691245345,39574.33000000001,0,1
TX13049,3541.01,Card,15,0,48320.37,49975.31,Bengaluru,Mobile,169,0,0,2,0.0733,0,8.172449641602487,-1654.939999999995,0,0
TX11117,1581.53,Card,15,0,61474.14,49977.93,Mumbai,Desktop,30,0,0,4,0.0257,0,7.366780111184615,11496.21,0,0
