amount,transaction_type,transaction_time,sender_balance,receiver_balance,location,device_type,previous_transactions,new_device,unusual_location,Fraud
375.83,UPI,23,27828.28,17464.72,Different City,Desktop,57,0,0,0
997.79,Debit Card,23,37443.5,34580.61,Same City,Mobile,379,0,0,0
851.87,Credit Card,9,20837.26,61585.01,Same City,Desktop,445,0,0,0
1568.36,UPI,20,36449.45,70248.41,Same City,Tablet,304,0,0,0
1136.34,Net Banking,18,15478.0,58580.84,Same City,Mobile,385,0,0,0
846.37,Debit Card,12,14406.88,5708.69,Same City,Mobile,213,0,0,0
6951.46,Credit Card,20,46843.02,65845.18,Same City,Tablet,105,1,0,0
3459.11,Debit Card,20,11718.95,39108.15,Same City,Desktop,62,0,0,0
1060.9,UPI,11,5205.11,22018.32,Same City,Mobile,488,0,0,0
1523.48,Net Banking,19,46162.17,53934.22,Same City,Tablet,37,0,0,0
2467.12,Net Banking,14,21088.62,60107.42,Different City,Mobile,357,0,1,0
597.16,Net Banking,14,17424.04,17376.16,Different City,Mobile,200,0,0,0
783.85,Credit Card,15,12091.63,45243.95,Different City,Desktop,472,0,0,0
190.22,Debit Card,15,2020.39,39191.06,Same City,Desktop,76,0,0,0
964.24,Net Banking,17,25209.72,89753.23,Same City,Mobile,109,0,0,0
1989.21,UPI,18,38942.66,6379.46,Same City,Mobile,476,0,0,0
125.01,UPI,16,40946.24,43206.73,Same City,Mobile,250,1,0,0
91254.66,UPI,0,6392.02,125484.44,Different Country,Mobile,2,1,1,1
729.18,UPI,18,23916.9,30137.79,Same City,Desktop,97,0,0,0
743.79,Credit Card,9,25890.87,90993.02,Same City,Mobile,78,0,0,0
383.7,UPI,13,31687.68,74707.83,Same City,Tablet,58,0,0,0
1810.02,Net Banking,23,27730.59,43042.74,Same City,Desktop,423,1,0,0
471.39,Debit Card,20,43969.21,89083.21,Same City,Mobile,495,0,0,0
156.09,UPI,13,18223.08,47786.74,Same City,Desktop,352,1,0,0
362.75,UPI,22,9675.91,34210.76,Same City,Mobile,154,0,0,0
269.03,Debit Card,8,24479.76,83823.04,Same City,Desktop,67,0,0,0
560.81,Debit Card,10,41699.69,85756.23,Same City,Desktop,423,0,0,0
8296.64,Net Banking,14,12200.98,27470.38,Different City,Tablet,478,0,0,0
2127.88,Debit Card,20,11081.58,54502.69,Same City,Mobile,137,0,0,0
1089.5,UPI,11,28555.62,6646.33,Same City,Desktop,164,0,0,0
554.47,Debit Card,23,20460.94,13271.58,Different City,Tablet,378,0,0,0
1036.3,Debit Card,20,26789.66,30846.83,Same City,Desktop,226,0,0,0
732.84,Net Banking,14,19842.34,5456.54,Same City,Tablet,226,0,0,0
8042.66,Debit Card,6,54863.06,6400.63,Same City,Desktop,337,0,0,0
15020.58,Net Banking,3,5171.32,67361.56,Different Country,Mobile,1,1,1,1
633.8,Credit Card,11,46997.28,96992.65,Same City,Mobile,172,0,0,0
410.63,Net Banking,10,4803.63,5702.69,Different City,Tablet,374,0,0,0
2396.64,Net Banking,10,38721.83,89711.03,Same City,Desktop,470,0,0,0
5588.11,Net Banking,8,9962.46,89419.09,Same City,Mobile,275,0,0,0
479.51,Net Banking,23,48591.92,37487.06,Same City,Mobile,171,0,0,0
767.37,Debit Card,13,28134.24,96703.53,Same City,Mobile,361,1,0,0
405.71,Credit Card,6,26999.5,59513.17,Same City,Mobile,220,0,0,0
237.35,Debit Card,22,11731.08,5845.8,Different City,Mobile,488,0,1,0
81.11,Net Banking,10,40643.95,83582.59,Same City,Desktop,296,0,0,0
2606.48,Net Banking,16,10512.69,25024.29,Same City,Desktop,152,0,0,0
1452.72,Net Banking,11,4560.06,93443.6,Same City,Mobile,417,0,0,0
2468.58,Debit Card,23,37829.41,61000.74,Same City,Desktop,393,0,0,0
4807.49,UPI,21,1356.27,81358.04,Different City,Tablet,3,1,1,1
736.89,UPI,15,19904.85,13226.87,Same City,Mobile,293,0,0,0
3838.52,Net Banking,18,20966.62,44418.34,Same City,Desktop,448,0,0,0
1779.12,Debit Card,15,12767.68,87407.18,Same City,Desktop,493,0,0,0
2633.44,Credit Card,9,52139.87,31187.94,Same City,Tablet,123,0,0,0
